[2026-03-24 15:24:59] Daemon started (pid=2357686, interval=1800s)
[2026-03-24 15:25:01] Day3.98 | 🐦173 | 预测276±48 | HOLD [LOW] | P&L +19.8%
[2026-03-24 18:43:28] Day4.11 | 🐦175 | 预测273±47 | HOLD [LOW] | P&L +44.1%
[2026-03-24 18:48:28] Day4.12 | 🐦175 | 预测273±47 | HOLD [LOW] | P&L +44.1%
[2026-03-24 18:53:29] Day4.12 | 🐦175 | 预测273±47 | HOLD [LOW] | P&L +41.1%
[2026-03-24 18:58:30] Day4.12 | 🐦175 | 预测272±47 | HOLD [LOW] | P&L +41.1%
[2026-03-24 19:03:30] Day4.13 | 🐦175 | 预测272±47 | HOLD [LOW] | P&L +41.1%
[2026-03-24 19:08:31] Day4.13 | 🐦175 | 预测272±47 | HOLD [LOW] | P&L +41.1%
[2026-03-24 19:13:32] Day4.13 | 🐦175 | 预测272±47 | HOLD [LOW] | P&L +45.0%
[2026-03-24 19:18:32] Day4.14 | 🐦175 | 预测272±47 | HOLD [LOW] | P&L +45.0%
[2026-03-24 19:23:33] Day4.14 | 🐦175 | 预测271±47 | HOLD [LOW] | P&L +45.0%
[2026-03-24 19:28:34] Day4.14 | 🐦175 | 预测271±47 | HOLD [LOW] | P&L +45.0%
[2026-03-24 19:33:35] Day4.15 | 🐦175 | 预测271±47 | HOLD [LOW] | P&L +45.0%
[2026-03-24 19:38:35] Day4.15 | 🐦175 | 预测271±47 | HOLD [LOW] | P&L +45.0%
[2026-03-24 19:43:36] Day4.16 | 🐦175 | 预测271±47 | HOLD [LOW] | P&L +45.0%
[2026-03-24 19:48:37] Day4.16 | 🐦175 | 预测271±47 | HOLD [LOW] | P&L +45.0%
[2026-03-24 19:53:37] Day4.16 | 🐦175 | 预测270±47 | HOLD [LOW] | P&L +41.1%
[2026-03-24 19:58:38] Day4.17 | 🐦175 | 预测270±47 | HOLD [LOW] | P&L +41.1%
[2026-03-24 20:03:38] Day4.17 | 🐦175 | 预测270±47 | HOLD [LOW] | P&L +42.1%
[2026-03-24 20:08:39] Day4.17 | 🐦175 | 预测270±47 | HOLD [LOW] | P&L +42.1%
[2026-03-24 20:13:40] Day4.18 | 🐦175 | 预测270±47 | HOLD [LOW] | P&L +42.1%
[2026-03-24 20:18:40] Day4.18 | 🐦175 | 预测270±47 | HOLD [LOW] | P&L +39.2%
[2026-03-24 20:23:41] Day4.18 | 🐦175 | 预测269±47 | HOLD [MEDIUM] | P&L +37.3%
[2026-03-24 20:28:42] Day4.19 | 🐦175 | 预测269±47 | HOLD [MEDIUM] | P&L +34.3%
[2026-03-24 20:33:42] Day4.19 | 🐦175 | 预测269±46 | HOLD [MEDIUM] | P&L +41.1%
[2026-03-24 20:38:43] Day4.19 | 🐦175 | 预测269±46 | HOLD [MEDIUM] | P&L +38.2%
[2026-03-24 20:43:44] Day4.2 | 🐦175 | 预测269±46 | HOLD [MEDIUM] | P&L +38.2%
[2026-03-24 20:48:45] Day4.2 | 🐦175 | 预测269±46 | HOLD [MEDIUM] | P&L +36.3%
[2026-03-24 20:53:46] Day4.2 | 🐦175 | 预测268±46 | HOLD [MEDIUM] | P&L +36.3%
[2026-03-24 20:58:46] Day4.21 | 🐦176 | 预测270±46 | HOLD [LOW] | P&L +35.3%
[2026-03-24 21:03:47] Day4.21 | 🐦176 | 预测270±46 | HOLD [LOW] | P&L +31.4%
[2026-03-24 21:08:47] Day4.21 | 🐦176 | 预测270±46 | HOLD [LOW] | P&L +31.4%
[2026-03-24 21:13:48] Day4.22 | 🐦176 | 预测270±46 | HOLD [LOW] | P&L +31.4%
[2026-03-24 21:18:49] Day4.22 | 🐦176 | 预测270±46 | HOLD [LOW] | P&L +31.4%
[2026-03-24 21:23:49] Day4.22 | 🐦176 | 预测269±46 | HOLD [MEDIUM] | P&L +31.4%
[2026-03-24 21:28:50] Day4.23 | 🐦176 | 预测269±46 | HOLD [MEDIUM] | P&L +31.4%
[2026-03-24 21:33:51] Day4.23 | 🐦176 | 预测269±46 | HOLD [MEDIUM] | P&L +31.4%
[2026-03-24 21:38:51] Day4.24 | 🐦176 | 预测269±46 | HOLD [MEDIUM] | P&L +31.4%
[2026-03-24 21:43:52] Day4.24 | 🐦176 | 预测269±46 | HOLD [MEDIUM] | P&L +31.4%
[2026-03-24 21:48:53] Day4.24 | 🐦176 | 预测269±46 | HOLD [MEDIUM] | P&L +31.4%
[2026-03-24 21:53:53] Day4.25 | 🐦176 | 预测268±46 | HOLD [MEDIUM] | P&L +31.4%
[2026-03-24 21:58:54] Day4.25 | 🐦176 | 预测268±46 | HOLD [MEDIUM] | P&L +31.4%
[2026-03-24 22:03:55] Day4.25 | 🐦176 | 预测268±46 | HOLD [MEDIUM] | P&L +27.5%
[2026-03-24 22:08:55] Day4.26 | 🐦176 | 预测268±46 | HOLD [MEDIUM] | P&L +23.7%
[2026-03-24 22:13:56] Day4.26 | 🐦176 | 预测268±46 | HOLD [MEDIUM] | P&L +20.7%
[2026-03-24 22:18:57] Day4.26 | 🐦176 | 预测267±46 | HOLD [MEDIUM] | P&L +23.7%
[2026-03-24 22:23:57] Day4.27 | 🐦176 | 预测267±46 | HOLD [MEDIUM] | P&L +20.7%
[2026-03-24 22:28:58] Day4.27 | 🐦176 | 预测267±46 | HOLD [MEDIUM] | P&L +22.2%
[2026-03-24 22:33:59] Day4.27 | 🐦176 | 预测267±46 | HOLD [MEDIUM] | P&L +22.2%
[2026-03-24 22:39:00] Day4.28 | 🐦176 | 预测267±46 | HOLD [MEDIUM] | P&L +22.2%
[2026-03-24 22:44:01] Day4.28 | 🐦176 | 预测267±46 | HOLD [MEDIUM] | P&L +22.2%
[2026-03-24 22:49:02] Day4.28 | 🐦176 | 预测266±46 | HOLD [MEDIUM] | P&L +22.2%
[2026-03-24 22:54:03] Day4.29 | 🐦176 | 预测266±46 | HOLD [MEDIUM] | P&L +20.7%
[2026-03-24 22:59:04] Day4.29 | 🐦176 | 预测266±46 | HOLD [MEDIUM] | P&L +22.2%
[2026-03-24 23:04:05] Day4.29 | 🐦176 | 预测266±46 | HOLD [MEDIUM] | P&L +22.2%
[2026-03-24 23:09:05] Day4.3 | 🐦176 | 预测266±46 | HOLD [MEDIUM] | P&L +22.2%
[2026-03-24 23:14:07] Day4.3 | 🐦176 | 预测266±46 | HOLD [MEDIUM] | P&L +20.7%
[2026-03-24 23:19:07] Day4.3 | 🐦176 | 预测265±46 | HOLD [MEDIUM] | P&L +20.7%
[2026-03-24 23:24:08] Day4.31 | 🐦176 | 预测265±46 | HOLD [MEDIUM] | P&L +20.7%
[2026-03-24 23:29:09] Day4.31 | 🐦176 | 预测265±46 | HOLD [MEDIUM] | P&L +19.3%
[2026-03-24 23:34:09] Day4.32 | 🐦176 | 预测265±45 | HOLD [MEDIUM] | P&L +17.8%
[2026-03-24 23:39:10] Day4.32 | 🐦176 | 预测265±45 | HOLD [MEDIUM] | P&L +17.8%
[2026-03-24 23:44:11] Day4.32 | 🐦176 | 预测265±45 | HOLD [MEDIUM] | P&L +17.8%
[2026-03-24 23:49:12] Day4.33 | 🐦176 | 预测264±45 | HOLD [MEDIUM] | P&L +17.8%
[2026-03-24 23:54:14] Day4.33 | 🐦176 | 预测264±45 | HOLD [MEDIUM] | P&L +17.8%
[2026-03-24 23:59:14] Day4.33 | 🐦176 | 预测264±45 | HOLD [MEDIUM] | P&L +17.8%
[2026-03-25 00:04:59] Day4.34 | 🐦178 | 预测233±43.0 | STOP_LOSS [CRITICAL] | P&L +20.7%
[2026-03-25 00:10:39] Day4.34 | 🐦178 | 预测233±43.0 | STOP_LOSS [CRITICAL] | P&L +21.2%
[2026-03-25 00:16:10] Day4.34 | 🐦178 | 预测233±43.0 | STOP_LOSS [CRITICAL] | P&L +21.2%
[2026-03-25 00:21:40] Day4.35 | 🐦178 | 预测232±43.0 | STOP_LOSS [CRITICAL] | P&L +24.6%
[2026-03-25 00:27:13] Day4.35 | 🐦178 | 预测232±43.0 | STOP_LOSS [CRITICAL] | P&L +24.6%
[2026-03-25 00:32:46] Day4.36 | 🐦178 | 预测232±43.0 | STOP_LOSS [CRITICAL] | P&L +23.6%
[2026-03-25 00:38:13] Day4.36 | 🐦178 | 预测232±43.0 | STOP_LOSS [CRITICAL] | P&L +25.5%
[2026-03-25 00:43:14] Day4.36 | 🐦178 | 预测279±43.0 | HOLD [LOW] | P&L +25.5%
[2026-03-25 00:48:14] Day4.37 | 🐦179 | 预测279±43.0 | HOLD [LOW] | P&L +25.5%
[2026-03-25 00:53:16] Day4.37 | 🐦179 | 预测279±43.0 | HOLD [LOW] | P&L +25.5%
[2026-03-25 00:58:17] Day4.37 | 🐦179 | 预测279±43.0 | HOLD [LOW] | P&L +28.5%
[2026-03-25 01:03:17] Day4.38 | 🐦179 | 预测279±43.0 | HOLD [LOW] | P&L +28.5%
[2026-03-25 01:08:18] Day4.38 | 🐦179 | 预测279±43.0 | HOLD [LOW] | P&L +28.5%
[2026-03-25 01:13:19] Day4.38 | 🐦179 | 预测279±43.0 | HOLD [LOW] | P&L +28.5%
[2026-03-25 01:18:19] Day4.39 | 🐦179 | 预测278±43.0 | HOLD [LOW] | P&L +28.5%
[2026-03-25 01:23:20] Day4.39 | 🐦179 | 预测278±43.0 | HOLD [LOW] | P&L +28.5%
[2026-03-25 01:28:20] Day4.39 | 🐦179 | 预测278±43.0 | HOLD [LOW] | P&L +28.5%
[2026-03-25 01:33:21] Day4.4 | 🐦179 | 预测278±43.0 | HOLD [LOW] | P&L +28.5%
[2026-03-25 01:38:22] Day4.4 | 🐦179 | 预测278±43.0 | HOLD [LOW] | P&L +28.5%
[2026-03-25 01:39:30] Daemon shutting down
[2026-03-25 01:39:33] Daemon started (pid=2731048, interval=300s)
[2026-03-25 01:39:34] Day4.4 | 🐦179 | 预测308±45 | HOLD [LOW] | P&L +28.5%
[2026-03-25 01:39:40] Daemon shutting down
[2026-03-25 01:39:41] Daemon started (pid=2731374, interval=300s)
[2026-03-25 01:39:42] Day4.4 | 🐦179 | 预测308±45 | HOLD [LOW] | P&L +28.5%
[2026-03-25 01:40:40] Daemon started (pid=2732025, interval=300s)
[2026-03-25 01:40:41] Day4.4 | 🐦179 | 预测308±45 | HOLD [LOW] | P&L +28.5%
[2026-03-25 01:44:43] Day4.41 | 🐦179 | 预测307±45 | HOLD [LOW] | P&L +28.5%
[2026-03-25 01:45:42] Day4.41 | 🐦179 | 预测307±45 | HOLD [LOW] | P&L +28.5%
[2026-03-25 01:49:43] Day4.41 | 🐦179 | 预测307±45 | HOLD [LOW] | P&L +31.4%
[2026-03-25 01:50:43] Day4.41 | 🐦179 | 预测307±45 | HOLD [LOW] | P&L +31.4%
[2026-03-25 01:54:44] Day4.41 | 🐦179 | 预测307±45 | HOLD [LOW] | P&L +31.4%
[2026-03-25 01:55:44] Day4.41 | 🐦179 | 预测307±45 | HOLD [LOW] | P&L +31.4%
[2026-03-25 01:59:44] Day4.42 | 🐦179 | 预测307±45 | HOLD [LOW] | P&L +28.5%
[2026-03-25 02:00:44] Day4.42 | 🐦179 | 预测307±45 | HOLD [LOW] | P&L +28.5%
[2026-03-25 02:04:45] Day4.42 | 🐦179 | 预测307±45 | HOLD [LOW] | P&L +29.9%
[2026-03-25 02:05:45] Day4.42 | 🐦179 | 预测307±45 | HOLD [LOW] | P&L +29.9%
[2026-03-25 02:09:46] Day4.42 | 🐦179 | 预测307±45 | HOLD [LOW] | P&L +20.7%
[2026-03-25 02:10:46] Day4.42 | 🐦179 | 预测307±45 | HOLD [LOW] | P&L +20.7%
[2026-03-25 02:14:47] Day4.43 | 🐦179 | 预测306±45 | HOLD [LOW] | P&L +20.7%
[2026-03-25 02:15:47] Day4.43 | 🐦179 | 预测306±45 | HOLD [LOW] | P&L +20.7%
[2026-03-25 02:19:48] Day4.43 | 🐦179 | 预测306±45 | HOLD [LOW] | P&L +20.7%
[2026-03-25 02:20:47] Day4.43 | 🐦179 | 预测306±45 | HOLD [LOW] | P&L +20.7%
[2026-03-25 02:24:49] Day4.43 | 🐦179 | 预测306±45 | HOLD [LOW] | P&L +22.2%
[2026-03-25 02:25:48] Day4.43 | 🐦179 | 预测306±45 | HOLD [LOW] | P&L +22.2%
[2026-03-25 02:29:49] Day4.44 | 🐦179 | 预测306±45 | HOLD [LOW] | P&L +22.2%
[2026-03-25 02:30:50] Day4.44 | 🐦179 | 预测306±44 | HOLD [LOW] | P&L +22.2%
[2026-03-25 02:34:50] Day4.44 | 🐦179 | 预测306±44 | HOLD [LOW] | P&L +20.7%
[2026-03-25 02:35:51] Day4.44 | 🐦179 | 预测306±44 | HOLD [LOW] | P&L +19.3%
[2026-03-25 02:39:51] Day4.44 | 🐦179 | 预测306±44 | HOLD [LOW] | P&L +20.7%
[2026-03-25 02:40:51] Day4.45 | 🐦179 | 预测306±44 | HOLD [LOW] | P&L +20.7%
[2026-03-25 02:44:52] Day4.45 | 🐦179 | 预测305±44 | HOLD [LOW] | P&L +20.7%
[2026-03-25 02:45:52] Day4.45 | 🐦179 | 预测305±44 | HOLD [LOW] | P&L +20.7%
[2026-03-25 02:49:52] Day4.45 | 🐦179 | 预测305±44 | HOLD [LOW] | P&L +23.1%
[2026-03-25 02:50:53] Day4.45 | 🐦179 | 预测305±44 | HOLD [LOW] | P&L +23.1%
[2026-03-25 02:54:53] Day4.45 | 🐦179 | 预测305±44 | HOLD [LOW] | P&L +23.1%
[2026-03-25 02:55:54] Day4.46 | 🐦179 | 预测305±44 | HOLD [LOW] | P&L +23.1%
[2026-03-25 02:59:54] Day4.46 | 🐦179 | 预测305±44 | HOLD [LOW] | P&L +25.5%
[2026-03-25 03:00:55] Day4.46 | 🐦179 | 预测305±44 | HOLD [LOW] | P&L +25.5%
[2026-03-25 03:04:54] Day4.46 | 🐦179 | 预测305±44 | HOLD [LOW] | P&L +23.6%
[2026-03-25 03:05:55] Day4.46 | 🐦179 | 预测305±44 | HOLD [LOW] | P&L +23.6%
[2026-03-25 03:09:55] Day4.47 | 🐦179 | 预测305±44 | HOLD [LOW] | P&L +25.1%
[2026-03-25 03:10:56] Day4.47 | 🐦179 | 预测305±44 | HOLD [LOW] | P&L +25.1%
[2026-03-25 03:14:56] Day4.47 | 🐦179 | 预测304±44 | HOLD [LOW] | P&L +23.6%
[2026-03-25 03:15:57] Day4.47 | 🐦179 | 预测304±44 | HOLD [LOW] | P&L +23.6%
[2026-03-25 03:19:57] Day4.47 | 🐦179 | 预测304±44 | HOLD [LOW] | P&L +23.6%
[2026-03-25 03:20:57] Day4.47 | 🐦179 | 预测304±44 | HOLD [LOW] | P&L +23.1%
[2026-03-25 03:24:58] Day4.48 | 🐦179 | 预测304±44 | HOLD [LOW] | P&L +23.1%
[2026-03-25 03:25:58] Day4.48 | 🐦179 | 预测304±44 | HOLD [LOW] | P&L +23.1%
[2026-03-25 03:29:58] Day4.48 | 🐦179 | 预测304±44 | HOLD [LOW] | P&L +24.6%
[2026-03-25 03:30:59] Day4.48 | 🐦179 | 预测304±44 | HOLD [LOW] | P&L +24.6%
[2026-03-25 03:34:59] Day4.48 | 🐦179 | 预测304±44 | HOLD [LOW] | P&L +24.6%
[2026-03-25 03:35:59] Day4.48 | 🐦179 | 预测304±44 | HOLD [LOW] | P&L +21.7%
[2026-03-25 03:40:00] Day4.49 | 🐦179 | 预测304±44 | HOLD [LOW] | P&L +24.6%
[2026-03-25 03:41:00] Day4.49 | 🐦179 | 预测304±44 | HOLD [LOW] | P&L +24.6%
[2026-03-25 03:45:01] Day4.49 | 🐦179 | 预测303±44 | HOLD [LOW] | P&L +24.6%
[2026-03-25 03:46:01] Day4.49 | 🐦179 | 预测303±44 | HOLD [LOW] | P&L +24.6%
[2026-03-25 03:50:02] Day4.49 | 🐦179 | 预测303±44 | HOLD [LOW] | P&L +24.6%
[2026-03-25 03:51:02] Day4.49 | 🐦179 | 预测303±44 | HOLD [LOW] | P&L +24.6%
[2026-03-25 03:55:03] Day4.5 | 🐦179 | 预测303±44 | HOLD [LOW] | P&L +24.6%
[2026-03-25 03:56:03] Day4.5 | 🐦179 | 预测303±44 | HOLD [LOW] | P&L +24.6%
[2026-03-25 04:00:04] Day4.5 | 🐦179 | 预测303±44 | HOLD [LOW] | P&L +24.6%
[2026-03-25 04:01:04] Day4.5 | 🐦179 | 预测303±44 | HOLD [LOW] | P&L +24.6%
[2026-03-25 04:05:05] Day4.5 | 🐦179 | 预测303±44 | HOLD [LOW] | P&L +21.7%
[2026-03-25 04:06:05] Day4.5 | 🐦180 | 预测304±44 | HOLD [LOW] | P&L +21.7%
[2026-03-25 04:10:06] Day4.51 | 🐦180 | 预测304±44 | HOLD [LOW] | P&L +21.7%
[2026-03-25 04:11:06] Day4.51 | 🐦180 | 预测303±44 | HOLD [LOW] | P&L +21.7%
[2026-03-25 04:15:07] Day4.51 | 🐦180 | 预测303±44 | HOLD [LOW] | P&L +21.7%
[2026-03-25 04:16:06] Day4.51 | 🐦180 | 预测303±44 | HOLD [LOW] | P&L +21.7%
[2026-03-25 04:20:08] Day4.51 | 🐦180 | 预测303±44 | HOLD [LOW] | P&L +21.7%
[2026-03-25 04:21:07] Day4.51 | 🐦180 | 预测303±44 | HOLD [LOW] | P&L +21.7%
[2026-03-25 04:25:09] Day4.52 | 🐦180 | 预测303±44 | HOLD [LOW] | P&L +21.7%
[2026-03-25 04:26:08] Day4.52 | 🐦180 | 预测303±44 | HOLD [LOW] | P&L +21.7%
[2026-03-25 04:30:10] Day4.52 | 🐦180 | 预测303±44 | HOLD [LOW] | P&L +21.7%
[2026-03-25 04:31:09] Day4.52 | 🐦180 | 预测303±44 | HOLD [LOW] | P&L +21.7%
[2026-03-25 04:35:11] Day4.52 | 🐦180 | 预测303±44 | HOLD [LOW] | P&L +21.7%
[2026-03-25 04:36:10] Day4.53 | 🐦180 | 预测303±44 | HOLD [LOW] | P&L +21.7%
[2026-03-25 04:40:11] Day4.53 | 🐦180 | 预测302±44 | HOLD [LOW] | P&L +21.7%
[2026-03-25 04:41:11] Day4.53 | 🐦181 | 预测303±44 | HOLD [LOW] | P&L +21.7%
[2026-03-25 04:45:12] Day4.53 | 🐦181 | 预测303±44 | HOLD [LOW] | P&L +21.7%
[2026-03-25 04:46:11] Day4.53 | 🐦183 | 预测305±44 | HOLD [LOW] | P&L +21.7%
[2026-03-25 04:50:13] Day4.53 | 🐦183 | 预测305±44 | HOLD [LOW] | P&L +26.1%
[2026-03-25 04:51:12] Day4.54 | 🐦183 | 预测305±44 | HOLD [LOW] | P&L +26.1%
[2026-03-25 04:55:14] Day4.54 | 🐦183 | 预测305±44 | HOLD [LOW] | P&L +28.5%
[2026-03-25 04:56:13] Day4.54 | 🐦183 | 预测305±44 | HOLD [LOW] | P&L +28.5%
[2026-03-25 05:00:15] Day4.54 | 🐦183 | 预测305±44 | HOLD [LOW] | P&L +30.4%
[2026-03-25 05:01:13] Day4.54 | 🐦183 | 预测305±44 | HOLD [LOW] | P&L +31.4%
[2026-03-25 05:05:16] Day4.55 | 🐦183 | 预测305±44 | HOLD [LOW] | P&L +31.4%
[2026-03-25 05:06:14] Day4.55 | 🐦183 | 预测305±44 | HOLD [LOW] | P&L +31.4%
[2026-03-25 05:10:17] Day4.55 | 🐦183 | 预测304±44 | HOLD [LOW] | P&L +29.9%
[2026-03-25 05:11:15] Day4.55 | 🐦183 | 预测304±44 | HOLD [LOW] | P&L +29.9%
[2026-03-25 05:15:18] Day4.55 | 🐦183 | 预测304±44 | HOLD [LOW] | P&L +29.9%
[2026-03-25 05:16:15] Day4.55 | 🐦186 | 预测307±44 | HOLD [LOW] | P&L +29.9%
[2026-03-25 05:20:18] Day4.56 | 🐦186 | 预测307±44 | HOLD [LOW] | P&L +31.4%
[2026-03-25 05:21:16] Day4.56 | 🐦187 | 预测308±44 | HOLD [LOW] | P&L +31.4%
[2026-03-25 05:25:19] Day4.56 | 🐦187 | 预测308±44 | HOLD [LOW] | P&L +33.3%
[2026-03-25 05:26:17] Day4.56 | 🐦187 | 预测308±44 | HOLD [LOW] | P&L +33.3%
[2026-03-25 05:30:20] Day4.56 | 🐦187 | 预测308±43 | HOLD [LOW] | P&L +33.3%
[2026-03-25 05:31:18] Day4.56 | 🐦187 | 预测308±43 | HOLD [LOW] | P&L +33.3%
[2026-03-25 05:35:21] Day4.57 | 🐦187 | 预测308±43 | HOLD [LOW] | P&L +35.3%
[2026-03-25 05:36:19] Day4.57 | 🐦187 | 预测308±43 | HOLD [LOW] | P&L +35.3%
[2026-03-25 05:40:22] Day4.57 | 🐦187 | 预测307±43 | HOLD [LOW] | P&L +31.4%
[2026-03-25 05:41:20] Day4.57 | 🐦187 | 预测307±43 | HOLD [LOW] | P&L +28.5%
[2026-03-25 05:45:23] Day4.57 | 🐦187 | 预测307±43 | HOLD [LOW] | P&L +28.5%
[2026-03-25 05:46:22] Day4.57 | 🐦187 | 预测307±43 | HOLD [LOW] | P&L +28.5%
[2026-03-25 05:50:24] Day4.58 | 🐦187 | 预测307±43 | HOLD [LOW] | P&L +31.4%
[2026-03-25 05:51:23] Day4.58 | 🐦187 | 预测307±43 | HOLD [LOW] | P&L +31.4%
[2026-03-25 05:55:25] Day4.58 | 🐦187 | 预测307±43 | HOLD [LOW] | P&L +33.3%
[2026-03-25 05:56:25] Day4.58 | 🐦187 | 预测307±43 | HOLD [LOW] | P&L +35.3%
[2026-03-25 06:00:27] Day4.58 | 🐦187 | 预测307±43 | HOLD [LOW] | P&L +32.3%
[2026-03-25 06:01:26] Day4.58 | 🐦187 | 预测307±43 | HOLD [LOW] | P&L +32.3%
[2026-03-25 06:05:27] Day4.59 | 🐦191 | 预测311±43 | HOLD [LOW] | P&L +32.3%
[2026-03-25 06:06:26] Day4.59 | 🐦191 | 预测311±43 | HOLD [LOW] | P&L +32.3%
[2026-03-25 06:10:28] Day4.59 | 🐦191 | 预测310±43 | HOLD [LOW] | P&L +34.2%
[2026-03-25 06:11:27] Day4.59 | 🐦191 | 预测310±43 | HOLD [LOW] | P&L +37.2%
[2026-03-25 06:15:30] Day4.59 | 🐦191 | 预测310±43 | HOLD [LOW] | P&L +37.2%
[2026-03-25 06:16:29] Day4.59 | 🐦191 | 预测310±43 | HOLD [LOW] | P&L +37.2%
[2026-03-25 06:20:31] Day4.6 | 🐦191 | 预测310±43 | HOLD [LOW] | P&L +42.0%
[2026-03-25 06:21:30] Day4.6 | 🐦191 | 预测310±43 | HOLD [LOW] | P&L +42.0%
[2026-03-25 06:25:32] Day4.6 | 🐦191 | 预测310±43 | HOLD [LOW] | P&L +38.2%
[2026-03-25 06:26:30] Day4.6 | 🐦191 | 预测310±43 | HOLD [LOW] | P&L +38.2%
[2026-03-25 06:30:33] Day4.6 | 🐦191 | 预测310±43 | HOLD [LOW] | P&L +38.2%
[2026-03-25 06:31:31] Day4.61 | 🐦191 | 预测310±43 | HOLD [LOW] | P&L +38.2%
[2026-03-25 06:35:33] Day4.61 | 🐦191 | 预测310±43 | HOLD [LOW] | P&L +38.2%
[2026-03-25 06:36:32] Day4.61 | 🐦191 | 预测310±43 | HOLD [LOW] | P&L +38.2%
[2026-03-25 06:40:34] Day4.61 | 🐦192 | 预测310±43 | HOLD [LOW] | P&L +38.2%
[2026-03-25 06:41:33] Day4.61 | 🐦192 | 预测310±43 | HOLD [LOW] | P&L +38.2%
[2026-03-25 06:45:35] Day4.61 | 🐦192 | 预测310±43 | HOLD [LOW] | P&L +40.1%
[2026-03-25 06:46:34] Day4.62 | 🐦192 | 预测310±43 | HOLD [LOW] | P&L +40.1%
[2026-03-25 06:50:36] Day4.62 | 🐦193 | 预测311±43 | HOLD [LOW] | P&L +44.0%
[2026-03-25 06:51:35] Day4.62 | 🐦193 | 预测311±43 | HOLD [LOW] | P&L +44.0%
[2026-03-25 06:55:36] Day4.62 | 🐦193 | 预测311±43 | HOLD [LOW] | P&L +44.0%
[2026-03-25 06:56:36] Day4.62 | 🐦193 | 预测311±43 | HOLD [LOW] | P&L +45.9%
